Name,Sport,Date,Start time,Duration,Total distance (km),Average heart rate (bpm),Average speed (km/h),Max speed (km/h),Average pace (min/km),Max pace (min/km),Calories,Fat percentage of calories(%),Carbohydrate percentage of calories(%),Protein percentage of calories(%),Average cadence (rpm),Average stride length (cm),Running index,Training load,Ascent (m),Descent (m),Average power (W),Max power (W),Notes,Height (cm),Weight (kg),HR max,HR sit,VO2max
oo dd,RUNNING,2026-03-30,16:56:54,00:18:10,,139,,,,,122,,,,,,,,,,,,,173.0,60.0,175,57,39
Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W)
1,00:00:00,61,,,,,,,,
,00:00:01,61,,,,,,,,
,00:00:02,61,,,,,,,,
,00:00:03,61,,,,,,,,
,00:00:04,61,,,,,,,,
,00:00:05,61,,,,,,,,
,00:00:06,61,,,,,,,,
,00:00:07,62,,,,,,,,
,00:00:08,62,,,,,,,,
,00:00:09,62,,,,,,,,
,00:00:10,62,,,,,,,,
,00:00:11,62,,,,,,,,
,00:00:12,63,,,,,,,,
,00:00:13,63,,,,,,,,
,00:00:14,66,,,,,,,,
,00:00:15,69,,,,,,,,
,00:00:16,69,,,,,,,,
,00:00:17,69,,,,,,,,
,00:00:18,73,,,,,,,,
,00:00:19,73,,,,,,,,
,00:00:20,73,,,,,,,,
,00:00:21,76,,,,,,,,
,00:00:22,76,,,,,,,,
,00:00:23,80,,,,,,,,
,00:00:24,80,,,,,,,,
,00:00:25,83,,,,,,,,
,00:00:26,84,,,,,,,,
,00:00:27,84,,,,,,,,
,00:00:28,86,,,,,,,,
,00:00:29,87,,,,,,,,
,00:00:30,87,,,,,,,,
,00:00:31,90,,,,,,,,
,00:00:32,90,,,,,,,,
,00:00:33,92,,,,,,,,
,00:00:34,92,,,,,,,,
,00:00:35,95,,,,,,,,
,00:00:36,95,,,,,,,,
,00:00:37,95,,,,,,,,
,00:00:38,96,,,,,,,,
,00:00:39,96,,,,,,,,
,00:00:40,96,,,,,,,,
,00:00:41,95,,,,,,,,
,00:00:42,95,,,,,,,,
,00:00:43,94,,,,,,,,
,00:00:44,94,,,,,,,,
,00:00:45,94,,,,,,,,
,00:00:46,93,,,,,,,,
,00:00:47,92,,,,,,,,
,00:00:48,92,,,,,,,,
,00:00:49,92,,,,,,,,
,00:00:50,92,,,,,,,,
,00:00:51,93,,,,,,,,
,00:00:52,96,,,,,,,,
,00:00:53,96,,,,,,,,
,00:00:54,99,,,,,,,,
,00:00:55,100,,,,,,,,
,00:00:56,102,,,,,,,,
,00:00:57,102,,,,,,,,
,00:00:58,103,,,,,,,,
,00:00:59,104,,,,,,,,
,00:01:00,105,,,,,,,,
,00:01:01,106,,,,,,,,
,00:01:02,106,,,,,,,,
,00:01:03,107,,,,,,,,
,00:01:04,107,,,,,,,,
,00:01:05,107,,,,,,,,
,00:01:06,108,,,,,,,,
,00:01:07,108,,,,,,,,
,00:01:08,109,,,,,,,,
,00:01:09,109,,,,,,,,
,00:01:10,110,,,,,,,,
,00:01:11,110,,,,,,,,
,00:01:12,111,,,,,,,,
,00:01:13,111,,,,,,,,
,00:01:14,111,,,,,,,,
,00:01:15,112,,,,,,,,
,00:01:16,112,,,,,,,,
,00:01:17,113,,,,,,,,
,00:01:18,113,,,,,,,,
,00:01:19,113,,,,,,,,
,00:01:20,114,,,,,,,,
,00:01:21,114,,,,,,,,
,00:01:22,115,,,,,,,,
,00:01:23,115,,,,,,,,
,00:01:24,115,,,,,,,,
,00:01:25,115,,,,,,,,
,00:01:26,115,,,,,,,,
,00:01:27,115,,,,,,,,
,00:01:28,116,,,,,,,,
,00:01:29,116,,,,,,,,
,00:01:30,116,,,,,,,,
,00:01:31,117,,,,,,,,
,00:01:32,117,,,,,,,,
,00:01:33,117,,,,,,,,
,00:01:34,117,,,,,,,,
,00:01:35,118,,,,,,,,
,00:01:36,118,,,,,,,,
,00:01:37,118,,,,,,,,
,00:01:38,118,,,,,,,,
,00:01:39,119,,,,,,,,
,00:01:40,119,,,,,,,,
,00:01:41,120,,,,,,,,
,00:01:42,120,,,,,,,,
,00:01:43,121,,,,,,,,
,00:01:44,121,,,,,,,,
,00:01:45,121,,,,,,,,
,00:01:46,121,,,,,,,,
,00:01:47,121,,,,,,,,
,00:01:48,120,,,,,,,,
,00:01:49,120,,,,,,,,
,00:01:50,120,,,,,,,,
,00:01:51,120,,,,,,,,
,00:01:52,119,,,,,,,,
,00:01:53,120,,,,,,,,
,00:01:54,120,,,,,,,,
,00:01:55,120,,,,,,,,
,00:01:56,120,,,,,,,,
,00:01:57,120,,,,,,,,
,00:01:58,121,,,,,,,,
,00:01:59,121,,,,,,,,
,00:02:00,122,,,,,,,,
,00:02:01,122,,,,,,,,
,00:02:02,122,,,,,,,,
,00:02:03,123,,,,,,,,
,00:02:04,123,,,,,,,,
,00:02:05,123,,,,,,,,
,00:02:06,123,,,,,,,,
,00:02:07,123,,,,,,,,
,00:02:08,124,,,,,,,,
,00:02:09,124,,,,,,,,
,00:02:10,124,,,,,,,,
,00:02:11,125,,,,,,,,
,00:02:12,125,,,,,,,,
,00:02:13,126,,,,,,,,
,00:02:14,126,,,,,,,,
,00:02:15,126,,,,,,,,
,00:02:16,126,,,,,,,,
,00:02:17,127,,,,,,,,
,00:02:18,127,,,,,,,,
,00:02:19,127,,,,,,,,
,00:02:20,127,,,,,,,,
,00:02:21,127,,,,,,,,
,00:02:22,127,,,,,,,,
,00:02:23,127,,,,,,,,
,00:02:24,126,,,,,,,,
,00:02:25,127,,,,,,,,
,00:02:26,127,,,,,,,,
,00:02:27,134,,,,,,,,
,00:02:28,137,,,,,,,,
,00:02:29,137,,,,,,,,
,00:02:30,136,,,,,,,,
,00:02:31,135,,,,,,,,
,00:02:32,135,,,,,,,,
,00:02:33,136,,,,,,,,
,00:02:34,136,,,,,,,,
,00:02:35,136,,,,,,,,
,00:02:36,136,,,,,,,,
,00:02:37,136,,,,,,,,
,00:02:38,136,,,,,,,,
,00:02:39,136,,,,,,,,
,00:02:40,136,,,,,,,,
,00:02:41,136,,,,,,,,
,00:02:42,136,,,,,,,,
,00:02:43,136,,,,,,,,
,00:02:44,136,,,,,,,,
,00:02:45,136,,,,,,,,
,00:02:46,134,,,,,,,,
,00:02:47,137,,,,,,,,
,00:02:48,137,,,,,,,,
,00:02:49,137,,,,,,,,
,00:02:50,137,,,,,,,,
,00:02:51,138,,,,,,,,
,00:02:52,138,,,,,,,,
,00:02:53,139,,,,,,,,
,00:02:54,139,,,,,,,,
,00:02:55,139,,,,,,,,
,00:02:56,142,,,,,,,,
,00:02:57,142,,,,,,,,
,00:02:58,143,,,,,,,,
,00:02:59,144,,,,,,,,
,00:03:00,144,,,,,,,,
,00:03:01,146,,,,,,,,
,00:03:02,146,,,,,,,,
,00:03:03,147,,,,,,,,
,00:03:04,148,,,,,,,,
,00:03:05,148,,,,,,,,
,00:03:06,148,,,,,,,,
,00:03:07,148,,,,,,,,
,00:03:08,149,,,,,,,,
,00:03:09,149,,,,,,,,
,00:03:10,148,,,,,,,,
,00:03:11,148,,,,,,,,
,00:03:12,148,,,,,,,,
,00:03:13,148,,,,,,,,
,00:03:14,148,,,,,,,,
,00:03:15,148,,,,,,,,
,00:03:16,148,,,,,,,,
,00:03:17,148,,,,,,,,
,00:03:18,147,,,,,,,,
,00:03:19,147,,,,,,,,
,00:03:20,146,,,,,,,,
,00:03:21,146,,,,,,,,
,00:03:22,146,,,,,,,,
,00:03:23,149,,,,,,,,
,00:03:24,149,,,,,,,,
,00:03:25,150,,,,,,,,
,00:03:26,151,,,,,,,,
,00:03:27,151,,,,,,,,
,00:03:28,151,,,,,,,,
,00:03:29,152,,,,,,,,
,00:03:30,152,,,,,,,,
,00:03:31,151,,,,,,,,
,00:03:32,151,,,,,,,,
,00:03:33,149,,,,,,,,
,00:03:34,149,,,,,,,,
,00:03:35,148,,,,,,,,
,00:03:36,148,,,,,,,,
,00:03:37,148,,,,,,,,
,00:03:38,147,,,,,,,,
,00:03:39,147,,,,,,,,
,00:03:40,148,,,,,,,,
,00:03:41,148,,,,,,,,
,00:03:42,149,,,,,,,,
,00:03:43,149,,,,,,,,
,00:03:44,150,,,,,,,,
,00:03:45,150,,,,,,,,
,00:03:46,150,,,,,,,,
,00:03:47,150,,,,,,,,
,00:03:48,150,,,,,,,,
,00:03:49,150,,,,,,,,
,00:03:50,150,,,,,,,,
,00:03:51,150,,,,,,,,
,00:03:52,150,,,,,,,,
,00:03:53,150,,,,,,,,
,00:03:54,150,,,,,,,,
,00:03:55,150,,,,,,,,
,00:03:56,150,,,,,,,,
,00:03:57,151,,,,,,,,
,00:03:58,151,,,,,,,,
,00:03:59,152,,,,,,,,
,00:04:00,152,,,,,,,,
,00:04:01,152,,,,,,,,
,00:04:02,152,,,,,,,,
,00:04:03,152,,,,,,,,
,00:04:04,153,,,,,,,,
,00:04:05,153,,,,,,,,
,00:04:06,153,,,,,,,,
,00:04:07,153,,,,,,,,
,00:04:08,153,,,,,,,,
,00:04:09,152,,,,,,,,
,00:04:10,152,,,,,,,,
,00:04:11,152,,,,,,,,
,00:04:12,151,,,,,,,,
,00:04:13,151,,,,,,,,
,00:04:14,149,,,,,,,,
,00:04:15,147,,,,,,,,
,00:04:16,147,,,,,,,,
,00:04:17,147,,,,,,,,
,00:04:18,143,,,,,,,,
,00:04:19,143,,,,,,,,
,00:04:20,140,,,,,,,,
,00:04:21,140,,,,,,,,
,00:04:22,137,,,,,,,,
,00:04:23,136,,,,,,,,
,00:04:24,134,,,,,,,,
,00:04:25,134,,,,,,,,
,00:04:26,135,,,,,,,,
,00:04:27,135,,,,,,,,
,00:04:28,136,,,,,,,,
,00:04:29,137,,,,,,,,
,00:04:30,137,,,,,,,,
,00:04:31,137,,,,,,,,
,00:04:32,138,,,,,,,,
,00:04:33,138,,,,,,,,
,00:04:34,138,,,,,,,,
,00:04:35,138,,,,,,,,
,00:04:36,139,,,,,,,,
,00:04:37,139,,,,,,,,
,00:04:38,139,,,,,,,,
,00:04:39,139,,,,,,,,
,00:04:40,138,,,,,,,,
,00:04:41,138,,,,,,,,
,00:04:42,138,,,,,,,,
,00:04:43,138,,,,,,,,
,00:04:44,138,,,,,,,,
,00:04:45,138,,,,,,,,
,00:04:46,138,,,,,,,,
,00:04:47,137,,,,,,,,
,00:04:48,137,,,,,,,,
,00:04:49,137,,,,,,,,
,00:04:50,137,,,,,,,,
,00:04:51,138,,,,,,,,
,00:04:52,138,,,,,,,,
,00:04:53,136,,,,,,,,
,00:04:54,136,,,,,,,,
,00:04:55,136,,,,,,,,
,00:04:56,136,,,,,,,,
,00:04:57,136,,,,,,,,
,00:04:58,135,,,,,,,,
,00:04:59,135,,,,,,,,
,00:05:00,135,,,,,,,,
,00:05:01,134,,,,,,,,
,00:05:02,134,,,,,,,,
